OBJECTID,fieldname,platformtypename,tracknumber,uniqueidentifier,symbolcode,alertcode,speed,notes,altitude_m,estpoints,created_user,created_date,last_edited_user,last_edited_date,class,DateTimeSim,Distance_1_sec,BEARING,X,Y,POINT_Z,PlatformName,Speed_km_hr
1,Albatross1,Aircraft,T2625,Albatross1,SNAPMFP--------,non-suspect,500,,5000,10969.89036,,,,,VN,10/15/2020 17:46,13888.88889,105.7787387,107.3957915,10.67119648,0,"u""""Albatross1""""",50000
2,Eagle1,Aircraft,T4428,Eagle10000,SFACMFR--------,non-suspect,600,,5000,9207.489994,,,,,US,10/15/2020 17:46,16666.66667,221.4964682,125.9771492,28.87741441,0,"u""""Eagle1""""",60000
3,IzumoDDH183,Ship,T4655,IzumoDDH18,SFSCCLCV-------,non-suspect,50,,0,12384.03289,,,,,JP,10/15/2020 17:46,1388.888889,216.8698968,124.1550443,24.00837137,0,"u""""IzumoDDH183""""",5000
4,RedTiger,Ship,T0976,RedTiger00,SHUCSNM--------,high-interest,35,,-50,11776.31968,,,,,CN,10/15/2020 17:46,972.2222222,212.9526607,122.5487876,26.78838317,0,"u""""RedTiger""""",3500
5,Serpent1,Ship,T9458,Serpent100,SNSPCP---------,non-suspect,35,,0,10221.66546,,,,,MY,10/15/2020 17:46,972.2222222,249.2277432,112.082744,6.067695483,0,"u""""Serpent1""""",3500
6,REAGANTF,Ship,T8585,REAGANTF00,SFSCGT---------,non-suspect,35,,0,11305.37977,,,,,US,10/15/2020 17:46,972.2222222,263.4474501,115.6860892,20.72073816,0,"u""""REAGANTF""""",3500
7,RedDragon3,Aircraft,T3411,RedDragon3,SHACMFPN-------,target,500,,5000,11343.84338,,,,,CN,10/15/2020 17:46,13888.88889,85.53284143,112.5008136,19.45102122,0,"u""""RedDragon3""""",50000
8,Utter51,Aircraft,T4919,Utter51000,SFACMFRZ-------,non-suspect,500,,10000,9298.264261,,,,,US,10/15/2020 17:46,13888.88889,307.9590316,118.615466,21.71855272,0,"u""""Utter51""""",50000
9,Dragon1,Aircraft,T5966,Dragon1000,SNACMFP--------,non-suspect,400,,5000,12158.58073,,,,,PH,10/15/2020 17:46,11111.11111,252.181111,120.832372,14.46833862,0,"u""""Dragon1""""",40000
10,RedDragon2,Ship,T8166,RedDragon2,SHSCCLDD-------,target,50,,0,11279.4988,,,,,CN,10/15/2020 17:46,1388.888889,37.44365485,111.4694003,17.65202006,0,"u""""RedDragon2""""",5000
