OBJECTID,DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID
1,,1,250,69.44444444, ,,355.8737414,347.7993667,151.1798823,-33.96021689,0,2024-07-06 14:39:00,2,1
2,,1,250,69.44444444, ,,355.8737414,347.7994681,151.1797504,-33.95971116,0,2024-07-06 14:39:01,3,2
3,,1,250,69.44444444, ,,355.8737414,347.7994681,151.1796186,-33.95920542,0,2024-07-06 14:39:02,4,3
4,,1,250,69.44444444, ,,355.8737414,347.7994681,151.1794868,-33.95869968,0,2024-07-06 14:39:03,5,4
5,,1,250,69.44444444, ,,355.8737414,347.7995113,151.1793549,-33.95819393,0,2024-07-06 14:39:04,6,5
6,,1,250,69.44444444, ,,355.8737414,347.7995346,151.1792231,-33.95768818,0,2024-07-06 14:39:05,7,6
7,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1790913,-33.95718243,0,2024-07-06 14:39:06,8,7
8,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1789594,-33.95667668,0,2024-07-06 14:39:07,9,8
9,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1788276,-33.95617092,0,2024-07-06 14:39:08,10,9
10,,1,250,69.44444444, ,,355.8737414,347.7995745,151.1786957,-33.95566516,0,2024-07-06 14:39:09,11,10
11,,1,250,69.44444444, ,,355.8737414,347.7995977,151.1785639,-33.9551594,0,2024-07-06 14:39:10,12,11
12,,1,250,69.44444444, ,,355.8737414,347.799498,151.1784321,-33.95465363,0,2024-07-06 14:39:11,13,12
13,,1,250,69.44444444, ,,355.8737414,347.799498,151.1783002,-33.95414787,0,2024-07-06 14:39:12,14,13
14,,1,250,69.44444444, ,,355.8737414,347.799498,151.1781684,-33.95364209,0,2024-07-06 14:39:13,15,14
15,,1,250,69.44444444, ,,355.8737414,347.7994601,151.1780366,-33.95313632,0,2024-07-06 14:39:14,16,15
16,,1,250,69.44444444, ,,355.8737414,347.7995526,151.1779047,-33.95263054,0,2024-07-06 14:39:15,17,16
17,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1777729,-33.95212476,0,2024-07-06 14:39:16,18,17
18,,1,250,69.44444444, ,,355.8737414,347.7994175,151.1776411,-33.95161898,0,2024-07-06 14:39:17,19,18
19,,1,250,69.44444444, ,,355.8737414,347.7994175,151.1775092,-33.95111319,0,2024-07-06 14:39:18,20,19
20,,1,250,69.44444444, ,,355.8737414,347.7995346,151.1773774,-33.9506074,0,2024-07-06 14:39:19,21,20
21,,1,250,69.44444444, ,,355.8737414,347.7995578,151.1772456,-33.95010161,0,2024-07-06 14:39:20,22,21
22,,1,250,69.44444444, ,,355.8737414,347.7994317,151.1771137,-33.94959581,0,2024-07-06 14:39:21,23,22
23,,1,250,69.44444444, ,,355.8737414,347.7994317,151.1769819,-33.94909001,0,2024-07-06 14:39:22,24,23
24,,1,250,69.44444444, ,,355.8737414,347.7994317,151.17685,-33.94858421,0,2024-07-06 14:39:23,25,24
25,,1,250,69.44444444, ,,355.8737414,347.7996242,151.1767182,-33.94807841,0,2024-07-06 14:39:24,26,25
26,,1,250,69.44444444, ,,355.8737414,347.7995246,151.1765864,-33.9475726,0,2024-07-06 14:39:25,27,26
27,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1764545,-33.94706679,0,2024-07-06 14:39:26,28,27
28,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1763227,-33.94656097,0,2024-07-06 14:39:27,29,28
29,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1761909,-33.94605516,0,2024-07-06 14:39:28,30,29
30,,1,250,69.44444444, ,,355.8737414,347.7994417,151.176059,-33.94554934,0,2024-07-06 14:39:29,31,30
