OBJECTID,DateTime,PlatformType,Speed_km_hr,Distance_1_sec,PlatformName,SymbologyCode,EstimatedPoints,BEARING,POINT_X,POINT_Y,POINT_Z,DateTimeSim,COUNTSim,ORIG_FID,x_Rounded,y_Rounded,formatted
1,,1,250,69.44444444, ,,355.8737414,347.7993667,151.1798823,-33.96021689,0,7/6/2024 14:39,2,1,151.17988,-33.96021,"151.17988,-33.96021,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994681,151.1797504,-33.95971116,0,7/6/2024 14:39,3,2,151.17975,-33.95971,"151.17975,-33.95971,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994681,151.1796186,-33.95920542,0,7/6/2024 14:39,4,3,151.17961,-33.9592,"151.17961,-33.95920,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994681,151.1794868,-33.95869968,0,7/6/2024 14:39,5,4,151.17948,-33.95869,"151.17948,-33.95869,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995113,151.1793549,-33.95819393,0,7/6/2024 14:39,6,5,151.17935,-33.95819,"151.17935,-33.95819,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995346,151.1792231,-33.95768818,0,7/6/2024 14:39,7,6,151.17922,-33.95768,"151.17922,-33.95768,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1790913,-33.95718243,0,7/6/2024 14:39,8,7,151.17909,-33.95718,"151.17909,-33.95718,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1789594,-33.95667668,0,7/6/2024 14:39,9,8,151.17895,-33.95667,"151.17895,-33.95667,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1788276,-33.95617092,0,7/6/2024 14:39,10,9,151.17882,-33.95617,"151.17882,-33.95617,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995745,151.1786957,-33.95566516,0,7/6/2024 14:39,11,10,151.17869,-33.95566,"151.17869,-33.95566,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995977,151.1785639,-33.9551594,0,7/6/2024 14:39,12,11,151.17856,-33.95515,"151.17856,-33.95515,0"
1,,1,250,69.44444444, ,,355.8737414,347.799498,151.1784321,-33.95465363,0,7/6/2024 14:39,13,12,151.17843,-33.95465,"151.17843,-33.95465,0"
1,,1,250,69.44444444, ,,355.8737414,347.799498,151.1783002,-33.95414787,0,7/6/2024 14:39,14,13,151.1783,-33.95414,"151.17830,-33.95414,0"
1,,1,250,69.44444444, ,,355.8737414,347.799498,151.1781684,-33.95364209,0,7/6/2024 14:39,15,14,151.17816,-33.95364,"151.17816,-33.95364,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994601,151.1780366,-33.95313632,0,7/6/2024 14:39,16,15,151.17803,-33.95313,"151.17803,-33.95313,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995526,151.1779047,-33.95263054,0,7/6/2024 14:39,17,16,151.1779,-33.95263,"151.17790,-33.95263,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995313,151.1777729,-33.95212476,0,7/6/2024 14:39,18,17,151.17777,-33.95212,"151.17777,-33.95212,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994175,151.1776411,-33.95161898,0,7/6/2024 14:39,19,18,151.17764,-33.95161,"151.17764,-33.95161,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994175,151.1775092,-33.95111319,0,7/6/2024 14:39,20,19,151.1775,-33.95111,"151.17750,-33.95111,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995346,151.1773774,-33.9506074,0,7/6/2024 14:39,21,20,151.17737,-33.9506,"151.17737,-33.95060,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995578,151.1772456,-33.95010161,0,7/6/2024 14:39,22,21,151.17724,-33.9501,"151.17724,-33.95010,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994317,151.1771137,-33.94959581,0,7/6/2024 14:39,23,22,151.17711,-33.94959,"151.17711,-33.94959,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994317,151.1769819,-33.94909001,0,7/6/2024 14:39,24,23,151.17698,-33.94909,"151.17698,-33.94909,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994317,151.17685,-33.94858421,0,7/6/2024 14:39,25,24,151.17685,-33.94858,"151.17685,-33.94858,0"
1,,1,250,69.44444444, ,,355.8737414,347.7996242,151.1767182,-33.94807841,0,7/6/2024 14:39,26,25,151.17671,-33.94807,"151.17671,-33.94807,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995246,151.1765864,-33.9475726,0,7/6/2024 14:39,27,26,151.17658,-33.94757,"151.17658,-33.94757,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1764545,-33.94706679,0,7/6/2024 14:39,28,27,151.17645,-33.94706,"151.17645,-33.94706,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1763227,-33.94656097,0,7/6/2024 14:39,29,28,151.17632,-33.94656,"151.17632,-33.94656,0"
1,,1,250,69.44444444, ,,355.8737414,347.7995479,151.1761909,-33.94605516,0,7/6/2024 14:39,30,29,151.17619,-33.94605,"151.17619,-33.94605,0"
1,,1,250,69.44444444, ,,355.8737414,347.7994417,151.176059,-33.94554934,0,7/6/2024 14:39,31,30,151.17605,-33.94554,"151.17605,-33.94554,0"
1,,1,250,69.44444444, ,,355.8737414,347.7998478,151.1759272,-33.94504351,100,7/6/2024 14:39,32,31,151.17592,-33.94504,"151.17592,-33.94504,100"
1,,1,250,69.44444444, ,,355.8737414,347.7998478,151.1757954,-33.94453769,100,7/6/2024 14:39,33,32,151.17579,-33.94453,"151.17579,-33.94453,100"
1,,1,250,69.44444444, ,,355.8737414,347.7996497,151.1756635,-33.94403186,100,7/6/2024 14:39,34,33,151.17566,-33.94403,"151.17566,-33.94403,100"
1,,1,250,69.44444444, ,,355.8737414,347.7996497,151.1752022,-33.94374445,100,7/6/2024 14:39,35,34,151.1752,-33.94374,"151.17520,-33.94374,100"
1,,1,250,69.44444444, ,,355.8737414,294.9438774,151.1746366,-33.94352619,100,7/6/2024 14:39,36,35,151.17463,-33.94352,"151.17463,-33.94352,100"
1,,1,250,69.44444444, ,,355.8737414,294.9439174,151.1740709,-33.94330794,100,7/6/2024 14:39,37,36,151.17407,-33.9433,"151.17407,-33.94330,100"
1,,1,250,69.44444444, ,,355.8737414,294.9438774,151.1735053,-33.94308968,100,7/6/2024 14:39,38,37,151.1735,-33.94308,"151.17350,-33.94308,100"
1,,1,250,69.44444444, ,,355.8737414,294.943907,151.1729396,-33.94287142,100,7/6/2024 14:39,39,38,151.17293,-33.94287,"151.17293,-33.94287,100"
1,,1,250,69.44444444, ,,355.8737414,294.9446888,151.172374,-33.94265317,100,7/6/2024 14:39,40,39,151.17237,-33.94265,"151.17237,-33.94265,100"
1,,1,250,69.44444444, ,,355.8737414,294.9435908,151.1718084,-33.94243491,100,7/6/2024 14:39,41,40,151.1718,-33.94243,"151.17180,-33.94243,100"
1,,1,250,69.44444444, ,,355.8737414,294.942854,151.1712427,-33.94221665,100,7/6/2024 14:39,42,41,151.17124,-33.94221,"151.17124,-33.94221,100"
1,,1,250,69.44444444, ,,355.8737414,294.9455602,151.1706771,-33.94199839,100,7/6/2024 14:39,43,42,151.17067,-33.94199,"151.17067,-33.94199,100"
1,,1,250,69.44444444, ,,355.8737414,294.944762,151.1701114,-33.94178013,100,7/6/2024 14:39,44,43,151.17011,-33.94178,"151.17011,-33.94178,100"
1,,1,250,69.44444444, ,,355.8737414,294.944762,151.1695458,-33.94156187,100,7/6/2024 14:39,45,44,151.16954,-33.94156,"151.16954,-33.94156,100"
1,,1,250,69.44444444, ,,355.8737414,294.944762,151.1689802,-33.94134361,100,7/6/2024 14:39,46,45,151.16898,-33.94134,"151.16898,-33.94134,100"
1,,1,250,69.44444444, ,,355.8737414,294.9433767,151.1684145,-33.94112535,300,7/6/2024 14:39,47,46,151.16841,-33.94112,"151.16841,-33.94112,300"
1,,1,250,69.44444444, ,,355.8737414,294.9439053,151.1678489,-33.94090709,300,7/6/2024 14:39,48,47,151.16784,-33.9409,"151.16784,-33.94090,300"
1,,1,250,69.44444444, ,,355.8737414,294.9427248,151.1672832,-33.94068883,300,7/6/2024 14:39,49,48,151.16728,-33.94068,"151.16728,-33.94068,300"
1,,1,250,69.44444444, ,,355.8737414,294.9424683,151.1667176,-33.94047057,300,7/6/2024 14:39,50,49,151.16671,-33.94047,"151.16671,-33.94047,300"
1,,1,250,69.44444444, ,,355.8737414,294.9437641,151.166152,-33.9402523,300,7/6/2024 14:39,51,50,151.16615,-33.94025,"151.16615,-33.94025,300"
1,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1655863,-33.94003404,300,7/6/2024 14:39,52,51,151.16558,-33.94003,"151.16558,-33.94003,300"
1,,1,250,69.44444444, ,,355.8737414,294.9437641,151.1650207,-33.93981578,300,7/6/2024 14:39,53,52,151.16502,-33.93981,"151.16502,-33.93981,300"
1,,1,250,69.44444444, ,,355.8737414,263.2881361,151.164455,-33.93959751,300,7/6/2024 14:39,54,53,151.16445,-33.93959,"151.16445,-33.93959,300"
1,,1,250,69.44444444, ,,355.8737414,260.6649383,151.1638894,-33.93937925,300,7/6/2024 14:39,55,54,151.16388,-33.93937,"151.16388,-33.93937,300"
1,,1,250,69.44444444, ,,355.8737414,260.6651912,151.1632769,-33.93944451,300,7/6/2024 14:39,56,55,151.16327,-33.93944,"151.16327,-33.93944,300"
1,,1,250,69.44444444, ,,355.8737414,260.6647343,151.1626614,-33.93952846,300,7/6/2024 14:39,57,56,151.16266,-33.93952,"151.16266,-33.93952,300"
1,,1,250,69.44444444, ,,355.8737414,260.664987,151.1620458,-33.93961241,300,7/6/2024 14:39,58,57,151.16204,-33.93961,"151.16204,-33.93961,300"
1,,1,250,69.44444444, ,,355.8737414,260.6652975,151.1614302,-33.93969636,300,7/6/2024 14:39,59,58,151.16143,-33.93969,"151.16143,-33.93969,300"
1,,1,250,69.44444444, ,,355.8737414,260.6648416,151.1608147,-33.93978031,300,7/6/2024 14:39,60,59,151.16081,-33.93978,"151.16081,-33.93978,300"
1,,1,250,69.44444444, ,,355.8737414,260.6650936,151.1601991,-33.93986426,300,7/6/2024 14:39,61,60,151.16019,-33.93986,"151.16019,-33.93986,300"
1,,1,250,69.44444444, ,,355.8737414,260.6650499,151.1595835,-33.9399482,300,7/6/2024 14:40,62,61,151.15958,-33.93994,"151.15958,-33.93994,300"
1,,1,250,69.44444444, ,,355.8737414,260.6652433,151.1589679,-33.94003215,300,7/6/2024 14:40,63,62,151.15896,-33.94003,"151.15896,-33.94003,300"
1,,1,250,69.44444444, ,,355.8737414,260.6647889,151.1583524,-33.9401161,300,7/6/2024 14:40,64,63,151.15835,-33.94011,"151.15835,-33.94011,300"
1,,1,250,69.44444444, ,,355.8737414,260.6649682,151.1577368,-33.94020005,300,7/6/2024 14:40,65,64,151.15773,-33.9402,"151.15773,-33.94020,300"
1,,1,250,69.44444444, ,,355.8737414,260.6649388,151.1571212,-33.940284,300,7/6/2024 14:40,66,65,151.15712,-33.94028,"151.15712,-33.94028,300"
1,,1,250,69.44444444, ,,355.8737414,260.6652474,151.1565057,-33.94036795,300,7/6/2024 14:40,67,66,151.1565,-33.94036,"151.15650,-33.94036,300"
1,,1,250,69.44444444, ,,355.8737414,260.6647366,151.1558901,-33.9404519,300,7/6/2024 14:40,68,67,151.15589,-33.94045,"151.15589,-33.94045,300"
1,,1,250,69.44444444, ,,355.8737414,260.6650448,151.1552745,-33.94053585,300,7/6/2024 14:40,69,68,151.15527,-33.94053,"151.15527,-33.94053,300"
1,,1,250,69.44444444, ,,355.8737414,260.6649798,151.154659,-33.94061979,300,7/6/2024 14:40,70,69,151.15465,-33.94061,"151.15465,-33.94061,300"
